"兵力","显示","伤害倍率","兵力翻倍伤害提升百分比","平方后伤害倍率","平方伤害提升百分比"
"10","1.000e+1","1.8744691179161412","28.83847891629476","4.222392421336448","125.25804138243188"
"12","1.200e+1","2","29.248125036057804","4.700439718141093","135.02198590705464"
"100","1.000e+2","4.222392421336448","21.801989030053793","10.704480074967176","153.51694032216585"
"1000","1.000e+3","7.398031073973154","13.401146942990172","17.346623380839635","134.4762168121515"
"10000","1.000e+4","10.704480074967176","9.333803737379887","23.990462431501136","124.1160921734417"
"1000000","1.000e+6","17.346623380839635","5.764760794957979","37.2781746379445","114.90161986868546"
"100000000","1.000e+8","23.990462431501136","4.168322791999368","50.56588701747664","110.77495759764986"
"1000000000000","1.000e+12","37.2781746379445","2.682534779944601","77.14131177657553","106.93425181300418"
"9007199254740991","旧上限≈9007.2兆","50.415037499278846","1.9835351704623916","103.41503749927884","105.12736403450683"
"10000000000000000","1.000e+16","50.56588701747665","1.9776178348347218","103.71673653567444","105.11206794380512"
"1e+32","1.000e+32","103.71673653567444","0.9641645441245128","210.01843557207005","102.49232919108677"
"1e+64","1.000e+64","210.01843557207005","0.4761486758417588","422.6218336448612","101.230826471819"
"1e+128","1.000e+128","422.6218336448613","0.23661815845519296","847.8286297904436","100.61164906659634"
"1e+256","1.000e+256","847.8286297904436","0.11794836419325438","1698.2422220816086","100.30489209846101"
"1e512","1.00×10^512","1698.2422220816086","0.058884415132150994","3399.0694066639385","100.15221400499352"
"1e1024","1.00×10^1024","3399.0694066639385","0.029419817025197588","6800.723775828597","100.07604912378821"
"1e32768","1.00×10^32768","108850.35485076837","0.0009186924575220537","217703.2946640375","100.00237478555243"
